Activity,Student#,Time Stamp,Family,Action,Component,Outcome,#circuits,#loops,#components,#battery,#circuitSwitch,#grabBagResistor,#lightBulb,#resistor,#seriesAmmeter
a1,10009106,1363978501425,Build,add,lightBulb,None
a1,10009106,1363978503940,Organize,organizeWorkspace,junction,None
a1,10009106,1363978506034,Organize,organizeWorkspace,junction,None
a1,10009106,1363978508034,Organize,organizeWorkspace,junction,None
a1,10009106,1363978509800,Organize,organizeWorkspace,lightBulb,None
a1,10009106,1363978515753,Build,add,wire,None
a1,10009106,1363978525284,Build,join,wire,None
a1,10009106,1363978527659,Organize,organizeWorkspace,junction,None
a1,10009106,1363978534331,Build,add,wire,None
a1,10009106,1363978536612,Build,joinX,wire,None
a1,10009106,1363978540409,Organize,organizeWorkspace,junction,None
a1,10009106,1363978542925,Organize,organizeWorkspace,junction,None
a1,10009106,1363978547940,Organize,organizeWorkspace,junction,None
a1,10009106,1363978551440,Organize,organizeWorkspace,junction,None
a1,10009106,1363978556675,Organize,organizeWorkspace,junction,None
a1,10009106,1363978558878,Organize,organizeWorkspace,junction,None
a1,10009106,1363978563128,Build,add,battery,None
a1,10009106,1363978565159,Build,join,battery,None
a1,10009106,1363978567065,Organize,organizeWorkspace,junction,None
a1,10009106,1363978568659,Organize,organizeWorkspace,junction,None
a1,10009106,1363978570565,Organize,organizeWorkspace,junction,None
a1,10009106,1363978571784,Revise,split,junction,None
a1,10009106,1363978573425,Build,join,lightBulb,None
a1,10009106,1363978576222,Build,join,wire,None
a1,10009106,1363978580112,Organize,organizeWorkspace,junction,None
a1,10009106,1363978591612,Build,add,circuitSwitch,None
a1,10009106,1363978593581,Build,join,circuitSwitch,None
a1,10009106,1363978597987,Organize,organizeWorkspace,junction,None
a1,10009106,1363978599597,Organize,organizeWorkspace,junction,None
a1,10009106,1363978601222,Organize,organizeWorkspace,junction,None
a1,10009106,1363978604581,Revise,remove,circuitSwitch,None
a1,10009106,1363978607815,Organize,organizeWorkspace,lightBulb,None
a1,10009106,1363978625503,Interface,enableComponent,grabBagResistor,None
a1,10009106,1363978630206,Extra,add,grabBagResistor,None
a1,10009106,1363978632128,Organize,organizeWorkspace,junction,None
a1,10009106,1363978633644,Extra,join,grabBagResistor,None
a1,10009106,1363978635128,Organize,organizeWorkspace,junction,None
a1,10009106,1363978636206,Organize,organizeWorkspace,junction,None
a1,10009106,1363978636222,Extra,join,grabBagResistor,light_intensity
a1,10009106,1363978636206,pause,pause,pause,pause
a1,10009106,1363978658706,Interface,enableComponent,voltmeter,None
