C,P,T1,T2,Tm,T,group
28,15,15,8,21,44,LH
17,12,5,4,7,16,LH
21,16,3,6,14,23,LL
19,13,6,12,1,19,LL
26,14,6,7,10,23,HH
9,13,3,10,0,13,HH
14,18,2,4,14,20,LH
22,14,0,0,10,10,LL
12,23,0,7,13,20,LL
12,11,5,11,1,17,LL
10,7,0,0,2,2,LH
21,19,0,0,16,16,LL
14,14,1,6,11,18,LH
9,11,5,2,5,12,HH
7,12,0,0,6,6,LH
28,16,2,5,23,30,HH
24,16,1,12,7,20,LL
13,13,1,0,2,3,HH
9,16,0,0,14,14,LL
4,2,1,0,0,1,HH
19,16,0,2,9,11,LH
20,16,9,5,8,22,HH
15,20,4,8,4,16,LL
21,17,1,5,2,8,LL
11,8,1,1,5,7,HH
19,14,0,6,2,8,LL
24,17,6,8,15,29,LL
16,15,2,1,10,13,LH
22,20,4,9,10,23,LH
13,11,1,0,4,5,LL
10,8,1,1,1,3,HH
14,12,6,4,6,16,LH
8,8,2,0,0,2,HH
16,13,5,10,0,15,HL
20,16,4,6,3,13,LL
6,9,2,3,1,6,LH
14,13,1,1,2,4,HH
25,9,9,1,18,28,LL
23,16,6,17,0,23,LH
11,11,1,1,7,9,LH
16,19,8,8,7,23,HH
5,5,0,0,1,1,LL
16,12,1,11,3,15,LH
16,16,1,1,6,8,LH
16,15,2,8,1,11,LH
12,12,3,0,4,7,LL
24,9,4,3,11,18,LH
20,12,9,7,9,25,LL
4,7,5,5,0,10,HH
16,12,0,5,0,5,LL
20,18,2,5,20,27,LH
15,9,1,1,12,14,LH
11,6,1,5,6,12,LH
20,10,4,6,15,25,LL
14,16,5,7,2,14,HH
14,10,0,0,7,7,LH
9,3,0,0,9,9,LH
14,15,2,0,2,4,HH
15,16,5,7,7,19,LH
30,13,3,7,21,31,LL
18,11,0,0,13,13,LL
19,14,3,1,8,12,LH
11,14,6,2,8,16,LH
11,14,2,1,6,9,LH
31,16,7,5,18,30,LL
24,17,0,6,4,10,LL
33,8,5,2,22,29,LL
9,10,3,2,4,9,HH
20,15,0,0,14,14,LL
7,8,2,1,0,3,LH
17,15,3,9,5,17,LH
9,11,0,0,6,6,LL
25,15,4,18,5,27,LH
12,13,0,0,9,9,LH
11,9,0,0,12,12,LL
17,15,2,4,4,10,LL
17,11,5,0,4,9,HH
31,20,10,8,17,35,HL
30,14,8,12,10,30,LL
13,11,0,0,3,3,LL
14,12,0,0,9,9,HH
34,22,6,5,16,27,LL
19,20,5,5,13,23,HH
6,8,0,6,0,6,LH
22,17,10,12,4,26,LH
31,17,2,12,13,27,LL
27,14,1,6,12,19,LL
12,11,2,7,1,10,LH
20,12,1,0,20,21,LL
18,15,5,2,12,19,LH
6,3,1,2,2,5,HH
15,9,8,3,3,14,LL
16,15,5,3,13,21,LH
22,14,2,12,7,21,HH
14,11,1,4,3,8,LH
9,8,1,0,1,2,HL
19,14,6,6,9,21,LH
20,22,4,2,5,11,LH
15,9,0,0,14,14,HH
